,Switch,PS5,PS4,WiiU,3DS,DC,DS,GBA,GC,NeoGeoP,PS2,PS3,PSP,WS,Vita,Wii,XB360,XBOne,XSX,Xbox,PKS
361.0,,,,,,,,4926843.0,,144626.0,,,,,,,,,,,
362.0,,,,,,,,,,,,,,,,,,,116121.0,,
364.0,,,,1152837.0,,,,,,,,,,,,,,,,,
365.0,,,1036847.0,,5144286.0,,,,,,3492253.0,1329443.0,,,1040079.0,3915220.0,233371.0,,,,2837410.0
366.0,3891994.0,,,,,1099370.0,,,1564953.0,,,,,,,,,,,,
367.0,,1172938.0,,,,,3806575.0,,,,,,,775400.0,,,,57205.0,,294857.0,
368.0,,,,,,,,4967188.0,,151463.0,,,,,,,,,,,
369.0,,,,,,,,,,,,,,,,,,,118714.0,,
371.0,,,,1173014.0,,,,,,,,,,,,,,,,,
372.0,,,1083342.0,,5216083.0,,,,,,3541047.0,1382259.0,,,1059135.0,4025011.0,252582.0,,,,2877361.0
373.0,3937740.0,,,,,1118272.0,,,1577737.0,,,,,,,,,,,,
374.0,,1177245.0,,,,,4102276.0,,,,,,,780044.0,,,,57320.0,,297478.0,
375.0,,,,,,,,5024418.0,,155360.0,,,,,,,,,,,
376.0,,,,,,,,,,,,,,,,,,,122136.0,,
378.0,,,,1200339.0,,,,,,,,,,,,,,,,,
379.0,,,1116288.0,,5279800.0,,,,,,3584415.0,1440640.0,,,1083687.0,4193240.0,271524.0,,,,2907347.0
380.0,3985581.0,,,,,1139339.0,,,1592977.0,,,,,,,,,,,,
381.0,,1186232.0,,,,,4484052.0,,,,,,,784797.0,,,,57562.0,,299897.0,
382.0,,,,,,,,5067902.0,,158607.0,,,,,,,,,,,
383.0,,,,,,,,,,,,,,,,,,,122769.0,,
385.0,,,,1247112.0,,,,,,,,,,,,,,,,,
386.0,,,1146935.0,,5343546.0,,,,,,3642255.0,1481480.0,,,1108239.0,4456958.0,290466.0,,,,2934319.0
387.0,4037144.0,,,,,1166401.0,,,1606064.0,,,,,,,,,,,,
388.0,,1188151.0,,,,,4995523.0,,,,,,,794718.0,,,,57735.0,,305968.0,
389.0,,,,,,,,5105984.0,,162544.0,,,,,,,,,,,
390.0,,,,,,,,,,,,,,,,,,,123327.0,,
